SUA_CODE_2016,SUA_NAME_2016,AREA_ALBERS_SQKM_2016,SUA_CODE_2021,SUA_NAME_2021,AREA_ALBERS_SQKM_2021,Reason for change
5007,Kalgoorlie - Boulder,75.0977,5007,Kalgoorlie - Boulder,75.0977,
5008,Karratha,134.2041,5008,Karratha,134.2041,
5009,Perth,3531.8953,5009,Perth,3893.1281,
5010,Port Hedland,116.4323,5010,Port Hedland,116.4323,
5011,Yanchep,74.1366,5009,Perth,3893.1281,Amalgamated
6000,Not in any Significant Urban Area (Tas.),65882.2117,6000,Not in any Significant Urban Area (Tas.),65881.8887,
6001,Burnie - Wynyard,130.5135,6001,Burnie - Somerset,130.5134,Name Change
6002,Devonport,290.5021,6002,Devonport,290.5023,
6003,Hobart,1149.2719,6003,Hobart,1149.2735,
6004,Launceston,435.4108,6004,Launceston,435.4107,
6005,Ulverstone,129.9507,6005,Ulverstone,129.9507,
7000,Not in any Significant Urban Area (NT),1347392.18,7000,Not in any Significant Urban Area (NT),1347428.7408,
7001,Alice Springs,327.7133,7001,Alice Springs,327.7132,
7002,Darwin,374.4346,7002,Darwin,378.0391,
8000,Not in any Significant Urban Area (ACT),1897.2559,8000,Not in any Significant Urban Area (ACT),1879.4621,
8001,Canberra - Queanbeyan,499.3443,8001,Canberra - Queanbeyan,517.0934,
9000,Not in any Significant Urban Area (OT),256.3162,9000,Not in any Significant Urban Area (OT),255.742,
1026,Parkes,234.7556,,,,Removed
